"ADMX","Parent Category","Name","Display Name","Class","Explaining Text","Supported On","Type","Label","Registry Key","Value Name","Possible Values"
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_CUSTOM_HOMEPAGE","Custom Homepage","Machine","Allows the customization of the homepage. You can choose to blank the home page or set a custom URL.","","dropdownList","Display when Firefox starts","Software\Policies\Mozilla\Firefox","HomepageDisplay (dropdownList)","Listitems: 
     ""BLANK"" = ""Blank Page"" 
     ""CUSTOM"" = ""Custom Homepage"" 
     ""DEFAULT"" = ""Default Page"""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_CUSTOM_HOMEPAGE","Custom Homepage","Machine","Allows the customization of the homepage. You can choose to blank the home page or set a custom URL.","","textBox","Custom Homepage","Software\Policies\Mozilla\Firefox","CustomHomepage",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_CUSTOM_USERAGENT","Custom Useragent","Machine","Allows the customization of the useragent. This overrides the entire useragent sent to the server.","","textBox","Custom UserAgent","Software\Policies\Mozilla\Firefox","UseragentOverride",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_NTLM_TRUSTED_URIS","NTLM Authentication Trusted URIs","Machine","Comma-seperated list of FQDNs to allow NTLM authentication.","","textBox","URIs","Software\Policies\Mozilla\Firefox","NTLMAuthTrustedURIs",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLEDEFAULTCHECK","Disable Default Browser Check","Machine","","","policy setting","URIs","Software\Policies\Mozilla\Firefox","DisableDefaultCheck",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLEIMPORT","Disable Import Wizard","Machine","","","policy setting","URIs","Software\Policies\Mozilla\Firefox","DisableImport",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLEBROWSERMILESTONE","Disable Browser Miletone Page","Machine","","","policy setting","URIs","Software\Policies\Mozilla\Firefox","DisableBrowserMilestone",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLEUPDATES","Disable Automatic Updates","Machine","","","checkBox","Disable Firefox Automatic Update","Software\Policies\Mozilla\Firefox","DisableUpdate",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLEUPDATES","Disable Automatic Updates","Machine","","","checkBox","Disable Extensions Updates","Software\Policies\Mozilla\Firefox","DisableExtensionsUpdate",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLEUPDATES","Disable Automatic Updates","Machine","","","checkBox","Disable Search Engine Updates","Software\Policies\Mozilla\Firefox","DisableSearchUpdate",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLE_DM","Disable Download Manager","Machine","Disables the Download Manager from appearing when you start to download a file.","","policy setting","Disable Search Engine Updates","Software\Policies\Mozilla\Firefox","DisableDownloadManager",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLE_PASSWORDS","Disable Password Manager","Machine","","","policy setting","Disable Search Engine Updates","Software\Policies\Mozilla\Firefox","DisablePasswordManager",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_SUPRESSUPDATEPAGE","Supress ""Firefox Updated"" page after update","Machine","After updating Firefox, by default it display's a ""What's New"" page.

If you enable this policy, that page will be supressed.","","policy setting","Disable Search Engine Updates","Software\Policies\Mozilla\Firefox","SupressUpdatePage",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLEADDONWIZARD","Disable Add-On Wizard","Machine","Disables the Add-On Wizard at startup.","","policy setting","Disable Search Engine Updates","Software\Policies\Mozilla\Firefox","DisableAddonWizard",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLETELEMETRY","Disable Telemetry","Machine","Disables prompt and disables sending data to Mozilla. Disabling this will enable Telemetry.","","policy setting","Disable Search Engine Updates","Software\Policies\Mozilla\Firefox","DisableTelemetry",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_DISABLERIGHTS","Disable ""Know your rights""","Machine","Disables the ""Know your rights..."" prompt on first run.","","policy setting","Disable Search Engine Updates","Software\Policies\Mozilla\Firefox","DisableRights",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_PROXYSETTINGS","Proxy Settings","Machine","","","dropdownList","Proxy Mode","Software\Policies\Mozilla\Firefox","ProxyMode (dropdownList)","Listitems: 
     """" = ""No proxy"" 
     """" = ""Manual proxy configuration"" 
     """" = ""Use auto configuration URL (PAC)"" 
     """" = ""Autodetect network configuration"" 
     """" = ""Use system configuration"""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_PROXYSETTINGS","Proxy Settings","Machine","","","textBox","HTTP Proxy Address","Software\Policies\Mozilla\Firefox","HTTPProxyAddr",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_PROXYSETTINGS","Proxy Settings","Machine","","","textBox","HTTP Proxy server port","Software\Policies\Mozilla\Firefox","HTTPProxyServerPort",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_PROXYSETTINGS","Proxy Settings","Machine","","","checkBox","Use HTTP Proxy for all protocols","Software\Policies\Mozilla\Firefox","UseHTTPProxyForAllProto",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_PROXYSETTINGS","Proxy Settings","Machine","","","textBox","SSL Proxy address","Software\Policies\Mozilla\Firefox","SSLProxyAddress",""
"Mozilla.admx","Locked Preferences","MOZILLA_FIREFOX_LOCKED_PROXYSETTINGS","Proxy Settings","Machine","","","textBox","SSL Proxy Port","Software\Policies\Mozilla\Firefox","SSLProxyPort",""
